Name;SVI session;Application;NAS;Number;Reason;Note;Date;Length;Skill
c47fa6TVd10510;5bc47f99Vel1d10001fe0101;oij07;0497313888045;0497314020;T;;2018-10-15 13:53:10;131;ISRO_TEVA_US_EN
c47dfaTVd00983;5bc47dcaVel1d00003d70201;oij07;0497313888048;0497314020;T;;2018-10-15 13:46:02;192;ISRO_TEVA_GB_EN
c479c2TVd10377;5bc479b3Vel1d10001790101;oij07;0497313888045;0497314020;T;;2018-10-15 13:28:02;45;ISRO_TEVA_US_EN
c47a6eTVd00882;5bc47a3eVel1d00003720201;oij07;0497313888047;035351321668;T;;2018-10-15 13:30:54;267;ISRO_TEVA_IE_EN
